"VRSTA ŽIVINE","Število živali 2010 SLOVENIJA","Število živali 2010 Pomurska","Število živali 2010 Podravska","Število živali 2010 Koroška","Število živali 2010 Savinjska","Število živali 2010 Zasavska","Število živali 2010 Posavska","Število živali 2010 Jugovzhodna Slovenija","Število živali 2010 Osrednjeslovenska","Število živali 2010 Gorenjska","Število živali 2010 Primorsko-notranjska","Število živali 2010 Goriška","Število živali 2010 Obalno-kraška","Število živali 2013 SLOVENIJA","Število živali 2013 Pomurska","Število živali 2013 Podravska","Število živali 2013 Koroška","Število živali 2013 Savinjska","Število živali 2013 Zasavska","Število živali 2013 Posavska","Število živali 2013 Jugovzhodna Slovenija","Število živali 2013 Osrednjeslovenska","Število živali 2013 Gorenjska","Število živali 2013 Primorsko-notranjska","Število živali 2013 Goriška","Število živali 2013 Obalno-kraška","Število živali 2016 SLOVENIJA","Število živali 2016 Pomurska","Število živali 2016 Podravska","Število živali 2016 Koroška","Število živali 2016 Savinjska","Število živali 2016 Zasavska","Število živali 2016 Posavska","Število živali 2016 Jugovzhodna Slovenija","Število živali 2016 Osrednjeslovenska","Število živali 2016 Gorenjska","Število živali 2016 Primorsko-notranjska","Število živali 2016 Goriška","Število živali 2016 Obalno-kraška"
"Število glav velike živine [GVŽ]",421553,43933,79851,23809,72636,5325,19333,39589,64274,39525,11298,18104,3876,399349,36830,73095,23974,69461,4389,19552,38613,60883,39177,11134,17683,4557,418684,38056,73173,26281,70261,9995,22815,41211,60871,38054,12742,19700,5525
"Govedo",472333,35153,84135,29084,89756,6741,20612,44059,77192,51914,11420,19682,2585,462066,33235,80672,29634,86376,5146,22021,45620,74488,51713,11294,19283,2585,486014,32973,81696,32346,88998,12468,25794,50443,74143,49631,13397,21074,3052
"Prašièi",382031,157817,102376,6117,25129,691,18090,15904,47146,3355,925,3416,1065,287498,103877,83367,4395,21451,417,17330,13535,z,2557,508,3248,z,273359,106351,69374,5224,19358,N,18905,13805,31797,2450,824,2409,1374
"Perutnina",4900990,468260,2272886,240396,791606,40691,76791,124285,616055,37961,72226,134118,25715,4858025,631657,1799223,194951,881670,57172,89029,104827,649735,52481,93239,136649,167391,6222661,924111,2317211,278899,864493,56901,112608,129788,740554,92739,N,177132,190639
"Konji",22673,796,1790,673,2788,230,2085,4285,4104,1587,1883,1302,1150,21832,N,1645,914,2233,N,1861,3904,3788,1515,2026,1391,1165,19453,597,1601,N,1993,N,2126,2458,3725,1605,1782,1431,1209
"Ovce",137737,3319,12665,7444,20974,3173,6197,30585,10920,10082,10979,15804,5595,130657,1911,11953,7479,22065,3181,6276,26480,10397,10959,9744,14503,5708,134929,3269,12491,7933,18727,N,9511,26100,9331,10016,6756,19174,5802
"Koze",34864,1569,3192,1593,5551,685,1760,3592,5968,2354,1446,5997,1157,34542,929,N,576,4497,N,2190,3279,6067,2878,1951,5907,1308,38564,696,2782,N,5153,N,3533,4894,6060,3993,1479,5607,1505
