"VRSTA ŽIVINE","Število živali 2003 Pomurska","Število živali 2003 Podravska","Število živali 2003 Koroška","Število živali 2003 Savinjska","Število živali 2003 Zasavska","Število živali 2003 Posavska","Število živali 2003 Jugovzhodna Slovenija","Število živali 2003 Osrednjeslovenska","Število živali 2003 Gorenjska","Število živali 2003 Primorsko-notranjska","Število živali 2003 Goriška","Število živali 2003 Obalno-kraška","Število živali 2005 Pomurska","Število živali 2005 Podravska","Število živali 2005 Koroška","Število živali 2005 Savinjska","Število živali 2005 Zasavska","Število živali 2005 Posavska","Število živali 2005 Jugovzhodna Slovenija","Število živali 2005 Osrednjeslovenska","Število živali 2005 Gorenjska","Število živali 2005 Primorsko-notranjska","Število živali 2005 Goriška","Število živali 2005 Obalno-kraška","Število živali 2007 Pomurska","Število živali 2007 Podravska","Število živali 2007 Koroška","Število živali 2007 Savinjska","Število živali 2007 Zasavska","Število živali 2007 Posavska","Število živali 2007 Jugovzhodna Slovenija","Število živali 2007 Osrednjeslovenska","Število živali 2007 Gorenjska","Število živali 2007 Primorsko-notranjska","Število živali 2007 Goriška","Število živali 2007 Obalno-kraška","Število živali 2010 Pomurska","Število živali 2010 Podravska","Število živali 2010 Koroška","Število živali 2010 Savinjska","Število živali 2010 Zasavska","Število živali 2010 Posavska","Število živali 2010 Jugovzhodna Slovenija","Število živali 2010 Osrednjeslovenska","Število živali 2010 Gorenjska","Število živali 2010 Primorsko-notranjska","Število živali 2010 Goriška","Število živali 2010 Obalno-kraška","Število živali 2013 Pomurska","Število živali 2013 Podravska","Število živali 2013 Koroška","Število živali 2013 Savinjska","Število živali 2013 Zasavska","Število živali 2013 Posavska","Število živali 2013 Jugovzhodna Slovenija","Število živali 2013 Osrednjeslovenska","Število živali 2013 Gorenjska","Število živali 2013 Primorsko-notranjska","Število živali 2013 Goriška","Število živali 2013 Obalno-kraška","Število živali 2016 Pomurska","Število živali 2016 Podravska","Število živali 2016 Koroška","Število živali 2016 Savinjska","Število živali 2016 Zasavska","Število živali 2016 Posavska","Število živali 2016 Jugovzhodna Slovenija","Število živali 2016 Osrednjeslovenska","Število živali 2016 Gorenjska","Število živali 2016 Primorsko-notranjska","Število živali 2016 Goriška","Število živali 2016 Obalno-kraška"
"Govedo",40592,85214,28192,87383,N,21630,43374,79089,51177,10840,21194,N,38025,79472,28692,86736,7645,21390,41912,75553,50361,9704,18889,N,39454,87351,27173,88787,5761,20750,44077,77468,49168,9394,19846,3133,35153,84135,29084,89756,6741,20612,44059,77192,51914,11420,19682,2585,33235,80672,29634,86376,5146,22021,45620,74488,51713,11294,19283,2585,32973,81696,32346,88998,12468,25794,50443,74143,49631,13397,21074,3052
"Prašièi",235161,185928,10113,36829,N,35103,30457,60203,5290,N,4828,N,208319,142895,6713,24680,N,32837,31040,47821,3766,721,N,N,238785,148351,6050,29142,756,30844,31028,50608,3157,864,3456,N,157817,102376,6117,25129,691,18090,15904,47146,3355,925,3416,1065,103877,83367,4395,21451,417,17330,13535,z,2557,508,3248,z,106351,69374,5224,19358,N,18905,13805,31797,2450,824,2409,1374
"Perutnina",355087,1709295,152815,N,N,119784,152081,N,69277,N,N,63514,357697,1071976,N,529142,N,89236,98354,397103,N,310871,180085,19418,478533,1744793,N,791268,N,68293,125198,490272,62872,1092632,186128,N,468260,2272886,240396,791606,40691,76791,124285,616055,37961,72226,134118,25715,631657,1799223,194951,881670,57172,89029,104827,649735,52481,93239,136649,167391,924111,2317211,278899,864493,56901,112608,129788,740554,92739,N,177132,190639
"Konji",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2368,N,1758,3050,4126,N,N,682,N,N,N,N,2645,N,2119,2846,3814,N,1826,687,1049,796,1790,673,2788,230,2085,4285,4104,1587,1883,1302,1150,N,1645,914,2233,N,1861,3904,3788,1515,2026,1391,1165,597,1601,N,1993,N,2126,2458,3725,1605,1782,1431,1209
"Ovce",N,N,N,N,N,N,34895,N,N,N,N,N,N,N,6491,19944,2834,5586,31885,8255,11022,11123,14861,N,N,12652,6521,22187,N,5761,28560,9536,9947,12158,16171,5930,3319,12665,7444,20974,3173,6197,30585,10920,10082,10979,15804,5595,1911,11953,7479,22065,3181,6276,26480,10397,10959,9744,14503,5708,3269,12491,7933,18727,N,9511,26100,9331,10016,6756,19174,5802
"Koze",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6669,N,1569,3192,1593,5551,685,1760,3592,5968,2354,1446,5997,1157,929,N,576,4497,N,2190,3279,6067,2878,1951,5907,1308,696,2782,N,5153,N,3533,4894,6060,3993,1479,5607,1505
